Rank,Name,Country,Single
1512,Michael Fisher,Canada,517.92
1513,Tom Nelson,New Zealand,517.96
1514,Raúl Martínez Redondo,Spain,517.97
1515,Fayyadh Aunilbarr,Indonesia,518.05
1516,Taosif Amin Sahil,Bangladesh,518.12
1517,Alejandro Arteaga Mejia,Mexico,518.21
1518,Nurym Kudaibergen,Kazakhstan,518.24
1519,Daniel Martinez Alba,Mexico,518.28
1520,Wilfrid Py,France,518.29
1521,Lianghui Li (李亮辉),China,518.58
1522,Kevin Sulser,Switzerland,518.71
1523,Lachlan Stephens,Australia,518.72
1524,Abraham Torres Ortíz Aguirre,Mexico,518.74
1525,Alexander Karlov,Sweden,519.01
1526,Brock Hamann,Australia,519.03
1527,Ethan Pan,New Zealand,519.11
1528,Pengkai Fang (方鹏凯),China,519.16
1529,Ishaan Nimish Hadkar,India,519.31
1530,Ben Ridley,United Kingdom,519.5
1531,Luis Sinhue Medina Salas,Mexico,519.53
1532,Dominik Fürer,Switzerland,519.65
1533,Abraham Arcila Soraluz,Peru,519.74
1534,Brayan Orlando Gómez Gonzáles,Colombia,519.81
1535,Ivan Micieli,Italy,520.05
1536,Anders Berggren,Sweden,520.19
1537,Paweł Duraj,Poland,520.44
1538,Viktor Finogenov,Russia,520.49
1539,Noah Pihlstrand,Sweden,520.55
1540,Carl Joshua Garcia,Philippines,520.55
1541,Mason Witt,USA,520.56
1542,Jonathan Antonio Oktavian,Indonesia,520.59
1543,Andrew Strickland,USA,520.59
1544,Israel Springer,Italy,520.6
1545,Jose Nicolas Rojas,Colombia,520.61
1546,Marco Ho Lok Man (何絡民),Hong Kong,520.62
1547,Dmitry Dergunov,Russia,520.81
1548,Jack Doyle,USA,520.92
1549,Ian Bourn,USA,520.93
1550,David Remolina Amórtegui,Colombia,520.94
1551,Jose Smith Caldas Reyes,Peru,521.03
1552,Elijah Brown,USA,521.04
1553,Artyom Sermyazhko,Belarus,521.25
1554,Jaime Andrés Escobar Chan,Guatemala,521.37
1555,Xiaowei Wang (王晓伟),China,521.46
1556,Maksym Oliynyk,Ukraine,521.52
1557,Ronald Fernando Remuzgo Salazar,Peru,521.53
1558,Dmitry Matthew Yaquinto,Russia,521.59
1559,José Garrido,Chile,521.71
1560,Aniket Das,India,521.82
1561,Ng Si Xian,Malaysia,521.87
1562,Yannic Waser,Switzerland,521.98
1563,Jiashun Wu (吴嘉顺),China,522.08
1564,Alex Davani,USA,522.14
1565,Jin Yang (杨晋),China,522.15
1566,Feng Liang (梁锋),China,522.27
1567,Jonathan Soo Min-Kit,Malaysia,522.53
1568,Xiao Hu (胡霄),China,522.76
1569,Sean Cutshaw,USA,522.79
1570,Walter Felix,Peru,522.89
1571,Rafael Rodriguez Santana,Spain,522.95
1572,Joy Liou Liu (刘丽欧),China,523.0
1573,Shihao Ou (欧世浩),China,523.03
1574,Jiun-Ze Chen (陳鈞澤),Taiwan,523.04
1575,Bernardo Zakur Corrêa Santos,Brazil,523.09
1576,Zhihao Jia (贾志豪),China,523.18
1577,Auel Yakubu,Germany,523.21
1578,Jack O'Mahony,Australia,523.22
1579,Jichen Zha (查吉辰),China,523.22
1580,Kamil Zieliński,Poland,523.24
1581,Santiago Ramírez Jiménez,Colombia,523.27
1582,Yuzhuo Zheng (郑钰卓),China,523.3
1583,Bertie Longden,United Kingdom,523.31
1584,Kyle Van Straaten,Canada,523.41
1585,Teo Kai Xiang,Singapore,523.48
1586,AJ Blair,USA,523.49
1587,Ruimin Yan (颜瑞民),China,523.49
1588,Josh Bloch,USA,523.53
1589,Olander Rafael Hernández Morales,Guatemala,523.6
1590,Joe Yang,USA,523.6
1591,Ting-Guang Chang (張廷光),Taiwan,523.67
1592,Calvin Nielson,USA,523.72
1593,Jānis Zirnis,Latvia,523.73
1594,Juliusz Czakon,Poland,523.74
1595,Yuxuan Song (宋宇轩),China,523.8
1596,Ling Qin (秦岭),China,523.83
1597,Max Chan,USA,523.85
1598,Caleb Hall,New Zealand,523.89
1599,Shane David,USA,523.96
1600,Ryo Ito (伊藤崚),Japan,524.01
1601,Gage Coon,USA,524.42
1602,Sebastian Owieczko,Poland,524.59
1603,Brandon Lin,USA,524.6
1604,Ruei-Ying Huang (黃睿穎),Taiwan,524.64
1605,Martin Brath,Germany,524.74
1606,Jitao Zhu (朱继涛),China,524.97
1607,Qingwei Kong (孔庆玮),China,525.36
1608,Qiuhao Qian (潜秋豪),China,525.51
1609,Matthew Bidwell,USA,525.52
1610,Jakub Sokołowski,Poland,525.61
1611,Balázs Bernát,Hungary,525.74
1612,Jonathan Gerardo Hernandez Cruz,Mexico,526.03
1613,Aleksandar Dukleski,North Macedonia,526.16
1614,Zhibo Jin (金智博),China,526.25
1615,Vadym Perestiuk (Вадим Перестюк),Ukraine,526.29
1616,Muhammad Syahmi,Malaysia,526.34
1617,Raymond Wang,USA,526.35
1618,Bas Verseveldt,Netherlands,526.38
1619,Vladimir Korovin,Russia,526.46
1620,Álvaro Rojas,Bolivia,526.52
1621,Lukas Lange,Germany,526.77
1622,Evgeniy Mazhara,Russia,526.87
1623,Jacky Koo Chun Ki (顧俊祺),Hong Kong,526.94
1624,Long Zhou (周隆),China,526.96
1625,Michael Young,USA,526.96
1626,Philipp Weyer,Germany,527.07
1627,Kevin Estefano Coayla Vargas,Peru,527.1
1628,Choi Goho (최고호),Korea,527.18
1629,Haluk Ulkusal,Romania,527.21
1630,Roman Povolotskii,Russia,527.22
1631,Dylan Vaskevicius,Canada,527.26
1632,Anang Hariyanto Nurhadi,Indonesia,527.32
1633,Javier Tovar Castro,Spain,527.35
1634,Adriano Matoba Lipski,Brazil,527.35
1635,Ivaylo Ivaylov Vichev,Bulgaria,527.38
1636,Santiago Medina Guzmán,Mexico,527.4
1637,Sutep Nopnatee (สุเทพ นภนที),Thailand,527.73
1638,Matthew Flay,Australia,527.91
1639,Mihai Căpăţinescu,Romania,527.94
1640,Hill Pong Yong Feng,Malaysia,527.95
1641,Te Wu (邬特),China,528.05
1642,Justus Danielsen,USA,528.07
1643,Rick Hamburger,Netherlands,528.34
1644,Einar Kvam Lundberg,Norway,528.35
1645,Adam Chodyniecki,Poland,528.59
1646,Iurii Chesnokov (Юрий Чесноков),Russia,528.76
1647,John Gaynor,USA,528.89
1648,Dingneng Deng (邓定能),China,528.95
1649,Mahir Israfilov,Azerbaijan,529.01
1650,Pang Pak Hin (彭栢軒),Hong Kong,529.02
1651,Artur Rzegost,Poland,529.1
1652,Shuailong Chen (陈帅龙),China,529.13
1653,Gil Kochbeck,Germany,529.32
1654,Michael Nielsen,USA,529.38
1655,Bryson Azzopardi,Australia,529.4
1656,Charlie Stark,United Kingdom,529.42
1657,Kevin Wilson,USA,529.45
1658,Daniel Yosef,Israel,529.54
1659,Elizabeth Cutting,USA,529.59
1660,Victor Rafael Ortiz Villaseñor,Mexico,529.85
1661,Jesper Nilsson,Sweden,529.92
1662,David Mortenson,USA,529.93
1663,Wojciech Barciaga,Poland,530.08
1664,Michael Tripodi,Australia,530.27
1665,Diego Barrera,Chile,530.29
1666,Rahul Singh,India,530.31
1667,Michael Angelo Zafra,Philippines,530.35
1668,Andrés Irías Li,Costa Rica,530.64
1669,Thomas Kohann,USA,530.68
1670,Alexander de Blois,Spain,530.76
1671,William Holloway,Australia,530.96
1672,Adam Tran,USA,531.27
1673,Le Chen (陈乐),China,531.42
1674,Gianluca Veschi,Italy,531.43
1675,Pavel Eroshkin (Павел Ерошкин),Russia,531.53
1676,Mukund Karthik,New Zealand,531.57
1677,Baocheng Wu (吴宝城),China,531.67
1678,Garrett Hadaway,USA,531.76
1679,Waris Ali,USA,531.77
1680,Gabriel Barrios,Guatemala,532.03
1681,Yuguang Deng (邓宇光),China,532.06
1682,Filip Kleczewski,Poland,532.13
1683,Evgeniy Kabanov,Russia,532.37
1684,Joseph Pasterski,USA,532.43
1685,Tim Möller,Germany,532.45
1686,Setya Hadi,Indonesia,532.48
1687,Luis David Hernández Mejía,Honduras,532.49
1688,Evan Wright,USA,532.64
1689,Nicos Ahlgrimm,Germany,532.66
1690,Daniel Fraser,New Zealand,532.76
1691,Leon Achata,Peru,532.79
1692,Iñaki Calderón Contreras,Mexico,532.81
1693,Muchammad Daniyal Kautsar,Indonesia,532.9
1694,Jhonier Andres Díaz Brito,Colombia,532.99
1695,Markus Kasparofsky,Germany,533.0
1696,Jiong Zhou (周炯),China,533.24
1697,Jinxuan Wu (吴金炫),China,533.26
1698,Tyler Williams,Australia,533.3
1699,Ziyue Chen (陈子悦),China,533.44
1700,Riley Norrid,USA,533.5
1701,Eli Hawkins,USA,533.72
1702,Francisco Alonso,Uruguay,533.86
1703,Nguyễn Đức Tài,Vietnam,533.92
1704,Ryouichi Ibaraki (茨木亮一),Japan,533.95
1705,Zhen Tang (唐镇),China,534.03
1706,Justin He,Australia,534.15
1707,Xiaojie Jiang (蒋孝杰),China,534.21
1708,Pavan Ravindra,USA,534.28
1709,Ivan Miletić,Serbia,534.34
1710,Phan Tu Nghi,Vietnam,534.39
1711,David Petru Ciubuc,Romania,534.4
1712,Elyas Eyou,New Zealand,534.42
1713,Yubo Ji (纪宇博),China,534.58
1714,Leo Högh,Sweden,534.63
1715,Laura Mellier,Switzerland,534.72
1716,Haibo Sui (隋海波),China,534.88
1717,Shao-Hua Hu (胡少華),Taiwan,535.02
1718,Lennon Hughes,Australia,535.04
1719,Siyuan Chen (陈思源),China,535.06
1720,Yuanxing Gao (高元兴),China,535.22
1721,Cyril Barigand,Belgium,535.34
1722,Jesse Hartnett,USA,535.59
1723,Fabricio Andrés Yañez Terrazas,Bolivia,535.6
1724,Eduardo González Parra,Mexico,535.67
1725,Max Walaszek,USA,535.7
1726,Diego Zeballos,Bolivia,535.77
1727,Nithin Babu,India,535.93
1728,Brennen Lin,Canada,535.97
1729,Guozheng Xu (徐国正),China,535.98
1730,Yizhi Wang (王易知),China,536.02
1731,Chan Chun Hang (陳浚鏗),Hong Kong,536.03
1732,Anders Barhaugen,Norway,536.06
1733,Miles C. Gutierrez,Philippines,536.12
1734,Shi-Xun Qiu (邱世勳),Taiwan,536.2
1735,Lars Johan Folde,Norway,536.34
1736,Lui Chi Fung (雷智鋒),Hong Kong,536.37
1737,Andrea Natale,Italy,536.43
1738,Shin June Cheol (신준철),Korea,536.6
1739,Justin Abad,USA,536.77
1740,Nikita Popkov,Russia,536.86
1741,Damien Barquilla,Philippines,537.05
1742,Juan David Quiñones,Colombia,537.13
1743,Farid Brazales Flores,Ecuador,537.18
1744,Ethan Horspool,United Kingdom,537.24
1745,Victor Glyrskov,Denmark,537.35
1746,Aneurin Hunt,New Zealand,537.6
1747,Nikolay Vasilyev,Russia,537.75
1748,Staš Zupanc,Slovenia,537.76
1749,Nick Stoker,USA,537.78
1750,Brayden Adams,USA,537.8
1751,Yong Liu (刘勇),China,537.8
1752,Andrew McCormick,USA,537.87
1753,Anderson Rojas,Peru,537.9
1754,Fred Lang,United Kingdom,537.91
1755,Charles Jerome,USA,537.97
1756,Benjamín González Camus,Chile,538.01
1757,Hsuan Chang (張璿),Taiwan,538.23
1758,Zicheng Wei (魏子程),China,538.42
1759,Yunhao Lou (娄云皓),China,538.63
1760,Angel de Jesús Cruz Fonseca,Mexico,538.79
1761,Juan Camilo Vargas,Colombia,538.82
1762,Michael Wittwer,Germany,538.88
1763,Adrien Auvray Matyn,New Zealand,538.92
1764,Caiqing Tang (汤才庆),China,539.02
1765,Seth Talbot,USA,539.06
1766,Zongwen Mu (牟宗文),China,539.13
1767,Jesús Jorge García López,Mexico,539.22
1768,Benjamin D. Millikan,USA,539.54
1769,Emil Khalimov,Russia,539.56
1770,Ashwin Ramesh,India,539.59
1771,Xiaoyin Guo (郭啸寅),China,539.85
1772,Maxen Morrison,Canada,540.04
1773,Ryan Michael Breen,USA,540.06
1774,Ava Monello,USA,540.07
1775,Deyang Wang (王德阳),China,540.07
1776,Marco Yang,Canada,540.13
1777,Nathaniel Khalinsky,Australia,540.19
1778,Jin-Yu Lin (林進裕),Taiwan,540.43
1779,Sam van Vliet,Australia,540.47
1780,Jacob Ryan Boantă,Romania,540.49
1781,Sören Jaan Handschuch,Germany,540.59
1782,Zhantong Xia (夏占通),China,540.6
1783,Derek Sears,USA,540.64
1784,Michael Eleftheriades,Cyprus,540.7
1785,Shilan Wang (王石蓝),China,540.79
1786,Zeyu Ma (马泽余),China,540.82
1787,Peter Rois,Austria,541.15
1788,Raymundo Alejandro Garza Cruz,Mexico,541.21
1789,Shoutaro Kikuchi (菊地章太郎),Japan,541.24
1790,Stian Nystad Østli,Norway,541.24
1791,Yunhui Shi (石蕴辉),China,541.25
1792,Terrence B. Duenas,USA,541.44
1793,Samuel Fang,USA,541.49
1794,Daniel Gutierrez,USA,541.63
1795,David Arzamastsev,Russia,541.66
1796,Ben Thomas Campbell,United Kingdom,541.69
1797,Junyue Liu (刘俊越),China,541.71
1798,Chenhao Ma (马晨皓),China,541.8
1799,Jang Seok Won (장석원),Korea,541.85
1800,Max Hahnbück,Germany,541.92
1801,Rostyslav Litvinov (Ростислав Літвінов),Ukraine,541.95
1802,Gabriel Sargeiro Gomes de Mello,Brazil,542.28
1803,Liudi Sun (孙柳笛),China,542.3
1804,Aiden Bartlett,USA,542.34
1805,Jacob Caine,United Kingdom,542.34
1806,Eddy Deturche,France,542.37
1807,Minhyun Kim (김민현),Korea,542.37
1808,Zhanaidar Uzakov (Жанайдар Узаков),Kazakhstan,542.51
1809,Wojciech Szatanowski,Poland,542.53
1810,Carlos Emiliano Esquivel Badillo,Mexico,542.66
1811,Muhammad Arsyad Maulana,Indonesia,542.78
1812,Kit Clement,USA,542.85
1813,You Wu (吴悠),China,543.11
1814,Shubham Kumar,India,543.18
1815,Gang Yong-Jin,Korea,543.2
1816,Goh Teng Loong,Singapore,543.22
1817,Nikita Gamolin,Russia,543.31
1818,Zhe Wang (王哲),China,543.49
1819,Gabriel Ignacio Fernández Albarracin,Chile,543.5
1820,Giuseppe Pappalardo,Italy,543.52
1821,Ant Irizarry,USA,543.66
1822,Keenan Johnson,USA,543.76
1823,Mathieu Preston,Canada,543.85
1824,Denis Kalyakin,Russia,543.86
1825,Will Cerne,USA,543.88
1826,Brandon Harris,New Zealand,543.95
1827,Yonghua Xie (解永华),China,544.19
1828,Preston Duke,USA,544.28
1829,Danil Zuev (Данил Зуев),Russia,544.33
1830,Gabriel Rejdych,Poland,544.45
1831,Haixin Yang (杨海鑫),China,544.47
1832,Saravanan Gowthaman,India,544.68
1833,James Macdiarmid,New Zealand,545.0
1834,Dorian Stein,Germany,545.1
1835,Damir Zhanataev (Дамир Жанатаев),Kazakhstan,545.38
1836,Sebastian Pretzsch,Germany,545.39
1837,Frederik Hutfleß,Germany,545.46
1838,Samuel Brenner,USA,545.53
1839,Bruno Vervoort,Belgium,545.66
1840,Vittorio Maria Perucatti,Italy,545.67
1841,Ruben Grobler,South Africa,545.75
1842,Chae Ji-Seok (채지석),Korea,545.76
1843,Zhifeng Lin (林志锋),China,545.78
1844,Ziyu Shang (尚子煜),China,545.84
1845,Kwok Chi Hang (郭志亨),Hong Kong,545.84
1846,Xinhe Liu (刘心赫),China,545.85
1847,Yonghao Xu (徐永浩),China,545.92
1848,Alexandru Ignat,Romania,546.1
1849,Jannik Gartmann,Liechtenstein,546.11
1850,Pilan Scruggs,USA,546.19
1851,Hengsheng Dai (戴恒盛),China,546.25
1852,Haowei Fan (樊浩玮),China,546.37
1853,Siah Yee Long,Singapore,546.43
1854,Joseph Williams,United Kingdom,546.47
1855,Connor Kempf,USA,546.72
1856,Bojun Hu (胡博钧),China,546.92
1857,Rituraj Sohoni,India,547.0
1858,Arden Daniel Jacobson,USA,547.01
1859,Riccardo Simone,Italy,547.11
1860,Graeme Watt,Canada,547.23
1861,Louis Meunier,USA,547.28
1862,Jonathan Hamstad,Norway,547.35
1863,Penghao Wang (王蓬皓),China,547.35
1864,Anthony Lauro,USA,547.37
1865,Antoine Piau,France,547.4
1866,Jayden Mitchell,USA,547.48
1867,Christian de Sena Fortunato,Brazil,547.48
1868,Rhys Lloyd,Australia,547.66
1869,José David Castiblanco Marin,Colombia,547.84
1870,Zeyu Hu (胡泽宇),China,548.0
1871,Lorenzo Franco Kasilag,Philippines,548.01
1872,Bair Bembeev (Баир Бембеев),Russia,548.03
1873,Tan Yong Jie,Malaysia,548.07
1874,Krzysztof Rożałowski,Poland,548.33
1875,Armando Dian,Malaysia,548.34
1876,Samuel Ignacio Rozo Alvarez,Colombia,548.51
1877,Antoine Isselin,France,548.53
1878,Zesheng Li (李泽生),China,548.65
1879,Lee Stanton-Barnett,New Zealand,548.87
1880,Stefano Bevacqua,Italy,548.92
1881,Dalton Nichols,USA,549.06
1882,Sergio Bulux,Guatemala,549.16
1883,Zhengkai Xu (徐正凯),China,549.2
1884,Jeremy Collins,USA,549.2
1885,Pablo Grasböck,Austria,549.22
1886,Xingyu Bai (白星宇),China,549.33
1887,Seth Rowell,USA,549.38
1888,Raghav Reddy,USA,549.45
1889,Nicolas Birkenstock,Germany,549.5
1890,Nathan Nakaguchi,USA,549.53
1891,Geovanny Cueva,Ecuador,549.61
1892,Diego Sebastian Tilleria Beltrán,Chile,549.83
1893,Oleg Liven,Russia,549.86
1894,Vitaliy Sheshko,Belarus,549.93
1895,Edward Liu,USA,549.99
1896,Velidi Venkata Jagan Mohana Murali Krishna,India,550.1
1897,Peter Preston,USA,550.16
1898,Aedelle Vice Staley R. Anunciacion,Philippines,550.24
1899,Takahiro Tomisawa (富沢隆広),Japan,550.3
1900,Nico Wrodarczyk,Germany,550.42
1901,Soheil Lotfi (سهیل لطفی),Iran,550.5
1902,Amir Reza Zargar Javaheri (امیر رضا زرگر جواهری),Iran,550.51
1903,Bo Chou (周勃),China,550.52
1904,Pessi Ansaranta,Finland,550.66
1905,Leudy Rodríguez,Dominican Republic,550.71
1906,Oleg Mudryk (Олег Мудрик),Ukraine,550.85
1907,Nicholas McKee,USA,550.86
1908,Parker Powell,USA,551.16
1909,Jungwoo Kim (김정우),Korea,551.29
1910,Luis Kleinheinz,Germany,551.37
1911,Lasse Korbanka,Germany,551.39
1912,Jacob Posner,USA,551.45
1913,Ivan Vanek,USA,551.56
1914,Mengyu Duan (段梦雨),China,551.8
1915,Rubén López de Juan,Spain,551.81
1916,Adriel Wiebe,USA,551.89
1917,Haiden Diemer-McKinney,USA,551.91
1918,Piotr Kózka,Poland,551.95
1919,Qi Qu (曲祺),China,552.03
1920,Renzo Rodriguez Moreno,Colombia,552.04
1921,Zi-Qiang Hong (洪子強),Taiwan,552.06
1922,Nicholas Daneshvari,USA,552.21
1923,Chia-Leo Lin (林珈樂),Taiwan,552.27
1924,Dongyun Yin (殷冬昀),China,552.28
1925,Wenxuan Yue (岳文轩),China,552.45
1926,Sebastian Nowicki,Poland,552.7
1927,Cole Campbell,New Zealand,552.75
1928,Diego Antonio Avila Pino,Chile,552.77
1929,Rodrigo Cabezas,Chile,552.9
1930,Yunfan Li (李云帆),China,553.0
1931,Jeremy Smith,USA,553.21
1932,Worapat Charoensuk (วรปรัชญ์ เจริญสุข),Thailand,553.32
1933,Maarten Smit,Netherlands,553.35
1934,Denys Shyshliannykov (Денис Шишлянников),Ukraine,553.36
1935,Aset Agabekov (Асет Агабеков),Kazakhstan,553.4
1936,Luis Davila,USA,553.44
1937,Sergey Chirin,Russia,553.49
1938,Matthew Sheerin,United Kingdom,553.56
1939,Sergelenbat Nymdorj,Mongolia,553.58
1940,Lau Yi En James,Singapore,553.67
1941,Arvin Tang,USA,553.67
1942,Mikhail Ivashechkin,Russia,553.82
1943,Alejandro Gallar Caballero,Spain,554.04
1944,Gavin Olson,Canada,554.23
1945,Hongye Sun (孙虹烨),China,554.47
1946,George Pelham,Australia,554.48
1947,Facundo Finola,Argentina,554.52
1948,Dmitry Sidorenko,Russia,554.61
1949,Elmo Tiitola,Finland,554.69
1950,David Gisler,Switzerland,554.74
1951,Tom Noble,Australia,554.75
1952,Cezary Chełkowski,Poland,554.81
1953,Rok Glinšek,Slovenia,554.95
1954,Marcin Zalewski,Poland,555.11
1955,Pei Pan (潘霈),Taiwan,555.18
1956,Vaishnav Nitesh,India,555.37
1957,Pavel Grigoryev,Russia,555.47
1958,Juan Pablo Suárez Narváez,Ecuador,555.48
1959,Daniel Lucas Dailo,USA,555.57
1960,Calvin Sall,USA,555.57
1961,Freddy Fernández Córdova,Peru,555.64
1962,Filip Brada,Czech Republic,555.67
1963,Ian Cawthon,USA,555.79
1964,Juan Antonio Arauco Jiménez,Peru,555.83
1965,Andres Felipe Triviño,Colombia,555.88
1966,Jerich Lee (李再圆),USA,556.13
1967,Dexter Estolonio,Philippines,556.28
1968,Rémi Esturoune,France,556.35
1969,Dylan Rene Centeno Chevez,Nicaragua,556.53
1970,Oscar Di Lenarda,France,556.66
1971,Luis Gerardo Martínez Hernández,Mexico,556.8
1972,Paul Taylor,USA,556.96
1973,Xingqi Chen (陈星奇),China,556.98
1974,Olivér Perge,Hungary,557.13
1975,Manuel Nobis,Germany,557.68
1976,Antto Pitkänen,Finland,557.75
1977,Mateusz Gil,Poland,557.88
1978,Wojciech Weremczuk,Poland,557.92
1979,Ekaterina Kaneva,Russia,557.93
1980,Pedro Victor Ferreira Silva,Brazil,557.96
1981,Khâu Bảo Thành,Vietnam,558.08
1982,Andrii Atamaniuk (Андрій Атаманюк),Ukraine,558.18
1983,Ruoyu Xia (夏若愚),China,558.2
1984,Juan Juli Andika Chandra,Indonesia,558.39
1985,Sebastian Guerrero,Costa Rica,558.41
1986,Kasper Jansson,USA,558.43
1987,Casey Ngo,USA,558.43
1988,Dawson Gonzalez,USA,558.56
1989,Nguyễn Minh Nghĩa,Vietnam,558.59
1990,Jerry Hwang,Korea,558.62
1991,Islam Kitiev,Russia,558.66
1992,Angelo Vega Castillo,Peru,558.71
1993,Simon Liang,USA,558.82
1994,Davide Adamo,Italy,558.87
1995,Kacper Wybrański,Poland,559.0
1996,Jiazhou Li (李佳洲),China,559.01
1997,Safvan Kadannam Potta,India,559.01
1998,Nikolai Kuzin,Russia,559.17
1999,Ryan Pin Harry,Canada,559.23
2000,Ruiyang Wang (王睿杨),China,559.32
2001,Jeff Miao,China,559.37
2002,Junseop Kim (김준섭),Korea,559.39
2003,Samir Homsi,Turkey,559.57
2004,Piotr Tokarski,Poland,559.6
2005,Carlos Pedro Casado de Achával,Argentina,559.68
2006,Julshz Lopez,Philippines,559.69
2007,Mohammad Sarlaki (محمد سرلکی),Iran,559.82
2008,Jordan Herman,USA,559.82
2009,Israel Fraga da Silva,Brazil,559.85
2010,Jichuan Deng (邓冀川),China,559.88
2011,Yerkin Assylbek,Kazakhstan,559.92
2012,Linxuan Zeng (曾霖煊),China,559.93
2013,Lihan Fei (费立涵),China,560.05
2014,Nate Mochrie,New Zealand,560.18
2015,Sergey Shmakov,Russia,560.21
2016,Faris Adilah Zakaria,Indonesia,560.21
2017,Fabrizio Rocco,Argentina,560.31
2018,Hunter Eric Deardurff,USA,560.33
2019,Leon Tran,Australia,560.35
2020,Frank Rhoades,USA,560.41
2021,Rúnar Gauti Gunnarsson,Iceland,560.45
2022,Mohan Balaji,India,560.45
2023,Adrian Dębski,Poland,560.46
2024,Francisco Moraes Mandalozzo,Brazil,560.53
2025,Ryan McIlhenny,USA,560.59
2026,Philip Preußler,Germany,560.64
2027,Melda Eksi,Germany,560.65
2028,Azhar Virani,USA,560.67
2029,Lee Zhi Xuan,Malaysia,560.79
2030,Honghao Zha (查泓昊),China,560.89
2031,Jiacheng Xu (徐嘉诚),China,560.91
2032,Pol González Sierras,Spain,561.02
2033,Orgil Otgonbayar (Отгонбаяр Оргил),Mongolia,561.1
2034,David Sánchez Serrano,Spain,561.23
2035,Fangrui Zeng (曾方锐),China,561.37
2036,James Hamory,USA,561.45
2037,Wenrui Qian (钱文睿),China,561.59
2038,Lucas Sanchez,USA,561.66
2039,Zhihan Liu (刘智涵),China,561.73
2040,Denys Horiachev (Денис Горячев),Ukraine,561.75
2041,Zhiyang Chen (陈至扬),China,561.86
2042,Zabir Bin Moaj,Bangladesh,562.06
2043,Noah Haaning Jensen,Denmark,562.24
2044,Valentin Havlovec,Austria,562.38
2045,Ahmet Güzel,Turkey,562.48
2046,Andrew Y. Feng,USA,562.53
2047,Er-Sheng Kuo (郭爾陞),Taiwan,562.55
2048,Ernest Seroczyński,Poland,562.58
2049,Renato Dean,Croatia,562.61
2050,Panfeng Jiang (江攀峰),China,562.66
2051,Weilun Zhang (张炜纶),China,562.68
2052,Hannes Müller,Germany,562.85
2053,Théo Paris,France,562.93
2054,Meng-Yi Li (李孟一),Taiwan,562.99
2055,Lir Ukaj,France,563.01
2056,Levente Fejes-Nagyfejeő,Hungary,563.28
2057,Antonio Pruteanu,Romania,563.34
2058,Jiaxi Ye (叶佳希),China,563.56
2059,Ethan Bockenhauer,USA,563.72
2060,Pablo Say,Guatemala,563.74
2061,Remo Pihel,Estonia,563.82
2062,Szymon Juroszek,Poland,563.84
2063,Chris Mills,United Kingdom,563.88
2064,Lanshi Zhang (张岚石),China,563.89
2065,Javier Siquité,Guatemala,564.01
2066,Darcy Andrikonis,Australia,564.17
2067,Trần Ngọc Sơn,Vietnam,564.17
2068,Wang Pan (潘旺),China,564.21
2069,Ethan Pride,Australia,564.21
2070,Claudio Matias Cancino Bruna,Chile,564.37
2071,Maverick Sua,Philippines,564.48
2072,Luke Holt,United Kingdom,564.69
2073,Charan Middi,USA,564.72
2074,Dmitry Aniskin,Russia,564.96
2075,Alvaro Haidar Ersha,Indonesia,565.02
2076,Ernie Pulchny,USA,565.06
2077,Mok Yuan Cong,Malaysia,565.16
2078,Ethan Basanov,Canada,565.43
2079,Fabian Staber,Austria,565.51
2080,Mikhail Kuzin,Russia,565.65
2081,Christopher Cabrera,USA,565.79
2082,Pengju Li (李鹏举),China,565.79
2083,Joey Gouly,United Kingdom,565.94
2084,Björn Korbanka,Germany,565.95
2085,Xinyu Tian (田芯语),China,566.04
2086,Hector Eduardo Ramirez Manuel,Mexico,566.09
2087,Riley Workman,USA,566.14
2088,Piotr Melczewski,Poland,566.21
2089,Owen de Greeff,Canada,566.38
2090,Matúš Buffa,Slovakia,566.44
2091,Patrick Kern,Germany,566.46
2092,Iván Pérez,Chile,566.47
2093,Ben Towers,United Kingdom,566.51
2094,Pieterjan Joubert,South Africa,566.52
2095,Michał Pleskowicz,Poland,566.55
2096,Bingbin Hu (胡冰斌),China,566.68
2097,Jason Zheng,USA,566.76
2098,Minsoo Park,Korea,566.83
2099,Benjamin Tibbetts,USA,566.93
2100,Erdenebayar Otgonjargal,Mongolia,567.24
2101,Daniel Penilla Jiménez,Mexico,567.37
2102,Pia Melloh,Germany,567.47
2103,Alex Burns,United Kingdom,567.54
2104,Daan Baartmans,Netherlands,567.58
2105,Evan Mann,USA,567.62
2106,Lauren Phung,USA,567.72
2107,David Serban Enescu,Romania,567.85
2108,Elliott Ashe,USA,567.94
2109,Jack Manzo,USA,568.09
2110,Taiga Takaoka (高岡汰虎),Japan,568.27
2111,Jhih-Chi Yang (楊智期),Taiwan,568.28
2112,Yiding Zhao (赵一丁),China,568.46
2113,Dinh-Anh Tran,France,568.59
2114,Christian Meyer,Switzerland,568.75
2115,Mengfei Shen (沈梦非),China,568.83
2116,Xiangjie Li (李祥杰),China,568.89
2117,Jonathan Östberg,Sweden,568.97
2118,Jonathan Culbertson,USA,568.99
2119,Nic Napier,USA,569.3
2120,Junxi Li (李俊锡),China,569.39
2121,Alessandro Manopulo,Italy,569.45
2122,Eduardo David Mazariegos Cifuentes,Guatemala,569.55
2123,Yongtao Sun (孙永涛),China,569.94
2124,Angel Anampa,Peru,569.96
2125,Guanda Fu (符冠达),China,569.98
